Community,Full Name,Country,Long,Lat,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,CLS_CODE,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,ER_UPDATE,ER_DATE_U,ER_RATION,SOURCEDATA
Aberdare,Aberdare National Park,Kenya,36.68,-0.38,10092,AT0108,East African Montane Forests,8,AT0108. East African montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Abijatta Shalla,Abijatta Shalla Lakes National Park,Ethiopia,38.53,7.55,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Abou Telfane,Abou Telfane Faunal Reserve,Chad,18.89,12.08,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Addax,Addax Sanctuary,Niger,9.5,19.48,10700,PA1329,South Saharan Steppe And Woodlands,29,PA1329. South Saharan steppe and woodlands,0,,PA,Palearctic,13,Deserts and Xeric Shrublands,PA13,,,,"Olson, 2001"
Ai Ais,Ai Ais Hot Springs National Park,Namibia,17.33,-27.85,10185,AT1314,Nama Karoo,14,AT1314. Nama Karoo,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Air and Tenere,Air and Tenere Natural Reserves,Niger,9.67,19.12,10700,PA1329,South Saharan Steppe And Woodlands,29,PA1329. South Saharan steppe and woodlands,0,,PA,Palearctic,13,Deserts and Xeric Shrublands,PA13,,,,"Olson, 2001"
Akagera,Akagera National Park,Rwanda,30.71,-1.64,10138,AT0721,Victoria Basin Forest-Savanna Mosaic,21,AT0721. Victoria Basin forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Amboseli,Amboseli National Park,Kenya,37.24,-2.64,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Ansongo Menaka,Reserve partielle de faune dAnsongo Menaka,Mali,1.7,15.53,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Arabuko Sokoke ,Arabuko Sokoke Forest Reserve,Kenya,39.89,-3.33,10109,AT0125,Northern Zanzibar-Inhambane Coastal Forest Mosaic,25,AT0125. Northern Zanzibar-Inhambane coastal forest mosaic,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Arawale,Arawale National Reserve,Kenya,40.15,-1.41,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Arly Partial,Arly Partial Faunal Reserve,Burkina Faso,1.14,11.4,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Arly Total,Arly Total Faunal Reserve,Burkina Faso,1.44,11.55,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Arusha,Arusha National Park,Tanzania,36.85,-3.25,10092,AT0108,East African Montane Forests,8,AT0108. East African montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Awash,Awash National Park,Ethiopia,40.04,8.91,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Badiar,Badiar National Park,Guinea,-13.28,12.59,10124,AT0707,Guinean Forest-Savanna Mosaic,7,AT0707. Guinean forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bahr Salamat,Bahr Salamat Faunal Reserve,Chad,19.43,10.56,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bale,Bale Mountains National Park,Ethiopia,39.68,6.93,10162,AT1008,Ethiopian Montane Moorlands,8,AT1008. Ethiopian montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Banc dArguin,Banc dArguin National Park,Mauritania,-15.79,20.1,10691,PA1321,North Saharan Steppe And Woodlands,21,PA1321. North Saharan steppe and woodlands,0,,PA,Palearctic,13,Deserts and Xeric Shrublands,PA13,,,,"Olson, 2001"
Bangweulu,Bangweulu Swamps Wetland of International Importance,Zambia,30.15,-11.94,10153,AT0907,Zambezian Flooded Grasslands,7,AT0907. Zambezian flooded grasslands,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Banhine ,Banhine National Park,Mozambique,32.87,-22.81,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bazaruto,Bazaruto National Park,Mozambique,35.44,-21.73,10112,AT0128,Southern Zanzibar-Inhambane Coastal Forest Mosaic,28,AT0128. Southern Zanzibar-Inhambane coastal forest mosaic,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Benoue,Benoue National Park,Cameroon,13.83,8.35,10129,AT0712,Northern Congolian Forest-Savanna Mosaic,12,AT0712. Northern Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bicuar ,Bicuar National Park,Angola,14.81,-15.29,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Binder Lere ,Binder Lere Faunal Reserve,Chad,14.46,9.66,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bontioli ,Bontioli Faunal Reserve,Burkina Faso,-3.12,10.85,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Boumba Bek,Boumba Bek National Park,Cameroon,14.99,2.66,10110,AT0126,Northwestern Congolian Lowland Forests,26,AT0126. Northwestern Congolian lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Budongo ,Budongo Forest Reserve,Uganda,31.59,1.82,10138,AT0721,Victoria Basin Forest-Savanna Mosaic,21,AT0721. Victoria Basin forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Buffalo ,Buffalo Partial Reserve,Angola,13.8,-12.77,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Bururi Forest,Bururi Forest Nature Reserve,Burundi,29.6,-3.93,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Cameia ,Cameia National Park,Angola,21.64,-11.91,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Campo Maan ,Campo Maan National Park,Cameroon,10.35,2.5,10086,AT0102,Atlantic Equatorial Coastal Forests,2,AT0102. Atlantic Equatorial coastal forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Cangandala ,Cangandala National Park,Angola,16.73,-9.87,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Chobe ,Chobe National Park,Botswana,24.51,-18.55,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Cliff of Bandiagara,Cliff of Bandiagara World Heritage Site,Mali,-3.37,14.37,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Comoe ,Comoe National Park,Ivory Coast,-3.73,9.12,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Conkouati Douli ,Conkouati Douli National Park,Congo,11.45,-3.93,10140,AT0723,Western Congolian Forest-Savanna Mosaic,23,AT0723. Western Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Daan Viljoen ,Daan Viljoen National Park,Namibia,16.96,-22.53,10180,AT1309,Kalahari Xeric Savanna,9,AT1309. Kalahari xeric savanna,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Deux Bales ,Deux Bales National Park,Burkina Faso,-2.94,11.6,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Etosha ,Etosha National Park,Namibia,15.9,-18.95,10148,AT0902,Etosha Pan Halophytics,2,AT0902. Etosha Pan halophytics,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Fada Archei ,Fada Archei Faunal Reserve,Chad,21.4,16.97,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Gambella ,Gambella National Park,Ethiopia,34.13,7.96,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Garamba ,Garamba National Park,Democratic Republic of the Congo,29.5,4.16,10129,AT0712,Northern Congolian Forest-Savanna Mosaic,12,AT0712. Northern Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Gile ,Gile National Reserve,Mozambique,38.38,-16.55,10123,AT0706,Eastern Miombo Woodlands,6,AT0706. Eastern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Gishwati ,Gishwati Forest Reserve,Rwanda,29.38,-1.82,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Golden Gate Highlands ,Golden Gate Highlands National Park,South Africa,28.67,-28.49,10158,AT1004,"Drakensberg Montane Grasslands, Woodlands And Forests",4,"AT1004. Drakensberg montane grasslands, woodlands and forests",0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Gombe ,Gombe National Park,Tanzania,29.63,-4.69,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Gonarezhou ,Gonarezhou National Park,Zimbabwe,31.88,-21.6,10134,AT0717,Southern Africa Bushveld,17,AT0717. Southern Africa bushveld,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Gorongosa ,Gorongosa National Park,Mozambique,34.5,-18.82,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Hells Gate ,Hells Gate National Park,Kenya,36.32,-0.88,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Hluhluwe ,Hluhluwe Game Reserve,South Africa,32.07,-28.09,10158,AT1004,"Drakensberg Montane Grasslands, Woodlands And Forests",4,"AT1004. Drakensberg montane grasslands, woodlands and forests",0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Hwange ,Hwange National Park,Zimbabwe,26.56,-19.08,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Iona ,Iona National Park,Angola,12.33,-16.64,10187,AT1316,Namibian Savanna Woodlands,16,AT1316. Namibian savanna woodlands,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Kabore Tambi ,Kabore Tambi National Park,Burkina Faso,-1.26,11.47,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kafue ,Kafue National Park,Zambia,25.87,-15.15,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kafue Flats,Kafue Flats,Zambia,27.23,-15.64,10153,AT0907,Zambezian Flooded Grasslands,7,AT0907. Zambezian flooded grasslands,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Kakamega ,Kakamega National Reserve,Kenya,34.86,0.33,10138,AT0721,Victoria Basin Forest-Savanna Mosaic,21,AT0721. Victoria Basin forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kapama ,Kapama Game Reserve,South Africa,31.04,-24.45,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kasungu ,Kasungu National Park,Malawi,33.13,-12.92,10136,AT0719,Southern Miombo Woodlands,19,AT0719. Southern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kgalagadi Transfrontier,Kgalagadi Transfrontier National Park,South Africa,20.78,-25.56,10180,AT1309,Kalahari Xeric Savanna,9,AT1309. Kalahari xeric savanna,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Khaudum ,Khaudum National Park,Namibia,20.78,-18.81,10126,AT0709,Kalahari Acacia-Baikiaea Woodlands,9,AT0709. Kalahari Acacia-Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kibale ,Kibale National Park,Uganda,30.38,0.42,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Kibira ,Kibira National Park,Burundi,29.5,-3,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Kidepo Valley ,Kidepo Valley National Park,Uganda,33.8,3.86,10122,AT0705,East Sudanian Savanna,5,AT0705. East Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kilimanjaro ,Kilimanjaro National Park,Tanzania,37.33,-3.06,10159,AT1005,East African Montane Moorlands,5,AT1005. East African montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Kizigo ,Kizigo Game Reserve,Tanzania,34.52,-6.59,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Knysna,Knysna National Lake Area,South Africa,23.04,-34.03,10099,AT0115,Knysna-Amatole Montane Forests,15,AT0115. Knysna-Amatole montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Korup ,Korup National Park,Cameroon,8.97,5.21,10091,AT0107,Cross-Sanaga-Bioko Coastal Forests,7,AT0107. Cross-Sanaga-Bioko coastal forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Kourtiagou ,Kourtiagou Faunal Reserve,Burkina Faso,1.96,11.54,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Kruger ,Kruger National Park,South Africa,31.48,-24.01,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lac Fitri,Lac Fitri,Chad,17.43,12.77,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lac Tele ,Lac Tele Faunal Reserve,Congo,17.23,1.19,10113,AT0129,Western Congolian Swamp Forests,29,AT0129. Western Congolian swamp forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Lake Chilwa ,Lake Chilwa Wetland of International Importance,Malawi,35.68,-15.25,10153,AT0907,Zambezian Flooded Grasslands,7,AT0907. Zambezian flooded grasslands,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Lake Manyara ,Lake Manyara National Park,Tanzania,35.79,-3.49,10131,AT0714,Serengeti Volcanic Grasslands,14,AT0714. Serengeti volcanic grasslands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lake Mweru,Lake Mweru,Zambia,29.42,-8.65,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lake Nakuru,Lake Nakuru,Kenya,36.1,-0.39,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lake Rukwa ,Lake Rukwa Game Reserve,Tanzania,31.92,-7.39,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lefini ,Lefini Faunal Reserve,Congo,15.43,-2.74,10140,AT0723,Western Congolian Forest-Savanna Mosaic,23,AT0723. Western Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lengwe ,Lengwe National Park,Malawi,34.57,-16.22,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Liwonde ,Liwonde National Park,Malawi,35.34,-14.86,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Lolldaiga,Lolldaiga Hills Conservation Area,Kenya,37.13,0.122,10092,AT0108,East African Montane Forests,8,AT0108. East African montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Lope ,Lope National Park,Gabon,11.54,-0.53,10086,AT0102,Atlantic Equatorial Coastal Forests,2,AT0102. Atlantic Equatorial coastal forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Luando  ,Luando Integral Nature Reserve,Angola,17.38,-11.01,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Luengue Luiana,Luengue Luiana National Park,Angola,22.52,-17.4,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Madjoari ,Madjoari Faunal Reserve,Burkina Faso,1.28,11.35,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
